"match_teams","match_winner"
"ISLAMABAD UNITED vs PESHAWAR ZALMI, 1st Match","Islamabad United won by 7 wkts (DLS method - reduced to 18 overs due to rain)"
"LAHORE QALANDARS vs QUETTA GLADIATORS, 2nd Match","Quetta Gladiators won by 8 runs"
"KARACHI KINGS vs PESHAWAR ZALMI, 3rd Match","Peshawar Zalmi won by 7 wkts"
"ISLAMABAD UNITED vs LAHORE QALANDARS, 4th Match","Lahore Qalandars won by 6 wkts"
"QUETTA GLADIATORS vs KARACHI KINGS, 5th Match","Quetta Gladiators won by 7 wkts"
"PESHAWAR ZALMI vs LAHORE QALANDARS, 6th Match","Peshawar Zalmi won by 3 wkts"
"ISLAMABAD UNITED vs QUETTA GLADIATORS, 7th Match","Islamabad United won by 5 wkts"
"LAHORE QALANDARS vs KARACHI KINGS, 8th Match","Lahore Qalandars won by 7 runs"
"PESHAWAR ZALMI vs QUETTA GLADIATORS, 9th Match","No result"
"ISLAMABAD UNITED vs KARACHI KINGS, 10th Match","Karachi Kings won by 8 runs (DLS method)"
"QUETTA GLADIATORS vs LAHORE QALANDARS, 11th Match","Quetta Gladiators won by 5 wkts"
"ISLAMABAD UNITED vs PESHAWAR ZALMI, 12th Match","Islamabad United won by 5 wkts"
"PESHAWAR ZALMI vs KARACHI KINGS, 13th Match","Karachi Kings won by 9 runs"
"LAHORE QALANDARS vs ISLAMABAD UNITED, 14th Match","Lahore Qalandars won by 1 wkt"
"KARACHI KINGS vs QUETTA GLADIATORS, 15th Match","Quetta Gladiators won by 6 wkts"
"PESHAWAR ZALMI vs LAHORE QALANDARS, 16th Match","Peshawar Zalmi won by 17 runs"
"QUETTA GLADIATORS vs ISLAMABAD UNITED, 17th Match","Islamabad United won by 1 run"
"LAHORE QALANDARS vs KARACHI KINGS, 18th Match","Karachi Kings won by 5 wkts"
"PESHAWAR ZALMI vs QUETTA GLADIATORS, 19th Match","Peshawar Zalmi won by 2 wkts"
"KARACHI KINGS vs ISLAMABAD UNITED, 20th Match","Karachi Kings won by 6 wickets"
"PESHAWAR ZALMI vs QUETTA GLADIATORS, 1st Qualifying Final","Quetta Gladiators won by 1 run"
"ISLAMABAD UNITED vs KARACHI KINGS, 2nd Qualifying Final","Karachi Kings won by 44 runs"
"PESHAWAR ZALMI vs KARACHI KINGS, 3rd Qualifying Final","Peshawar Zalmi won by 24 runs"
"QUETTA GLADIATORS vs PESHAWAR ZALMI, Final","Peshawar Zalmi won by 58 runs"
